country,year,over
Spain,1990,11.2
Spain,1990,18.7
Spain,1995,NA
Spain,2000,10.7
Spain,2004,10.9
Spain,2007,NA
Spain,2010,NA
Spain,2013,NA
Sweden,1967,NA
Sweden,1975,NA
Sweden,1981,NA
Sweden,1987,29.6
Sweden,1992,12.1
Sweden,1992,13.3
Sweden,1995,12
Sweden,1995,15.5
Sweden,2000,11.1
Sweden,2000,12.2
Sweden,2000,12.7
Sweden,2000,50.8
Sweden,2005,10.2
Sweden,2005,10.4
Sweden,2005,11.1
Sweden,2005,11.6
Sweden,2005,12.2
Sweden,2005,13.2
NA,2013,NA
Switzerland,1982,11.1
Switzerland,1982,11.9
Switzerland,1982,12.3
Switzerland,1982,13.2
Switzerland,1982,13.7
Switzerland,1982,14.2
Switzerland,1982,15.1
NA,2019,NA
Switzerland,1992,11.3
Switzerland,1992,11.5
Switzerland,1992,17.7
Switzerland,1992,21.4
Switzerland,2000,16
Switzerland,2000,17.9
Switzerland,2000,20.6
Switzerland,2002,NA
Switzerland,2004,NA
Switzerland,2007,10.5
Switzerland,2007,13.7
Switzerland,2007,23.9
Switzerland,2010,11.4
Switzerland,2010,15
Switzerland,2010,15.1
Switzerland,2013,NA
Taiwan,1981,NA
Taiwan,1986,11.4
Taiwan,1986,11.6
Taiwan,1986,12.1
Taiwan,1991,16.2
Taiwan,1991,59.3
Taiwan,1995,NA
Taiwan,1997,NA
Taiwan,2000,NA
Taiwan,2005,11
Taiwan,2007,13.6
Taiwan,2010,11
Taiwan,2010,14.5
Taiwan,2013,11.5
Taiwan,2013,11.5
Taiwan,2016,11.4
United Kingdom,1969,12.4
United Kingdom,1974,14.1
United Kingdom,1979,NA
United Kingdom,1986,NA
United Kingdom,1991,10.3
United Kingdom,1991,10.4
United Kingdom,1991,27.1
United Kingdom,1991,29.5
United Kingdom,1994,10.7
United Kingdom,1994,10.8
United Kingdom,1994,10.9
United Kingdom,1994,12.2
United Kingdom,1994,13.4
United Kingdom,1994,13.5
United Kingdom,1994,13.7
NA,2039,NA
United Kingdom,1995,13.8
United Kingdom,1995,14.7
United Kingdom,1999,10.4
United Kingdom,1999,10.6
United Kingdom,1999,11.2
United Kingdom,1999,11.4
United Kingdom,1999,11.5
United Kingdom,1999,12.2
United Kingdom,1999,12.7
NA,2013,NA
NA,2025,NA
United Kingdom,2004,10.4
United Kingdom,2004,10.5
United Kingdom,2004,10.8
United Kingdom,2004,10.8
United Kingdom,2004,11.5
United Kingdom,2004,11.8
United Kingdom,2004,12
NA,2012,NA
NA,2017,NA
NA,2031,NA
United Kingdom,2007,10.7
United Kingdom,2007,11.2
United Kingdom,2007,11.4
United Kingdom,2007,11.8
United Kingdom,2007,12.2
United Kingdom,2007,14
United Kingdom,2007,14.9
NA,2016,NA
United Kingdom,2010,10.5
United Kingdom,2010,10.5
United Kingdom,2010,10.9
United Kingdom,2010,10.9
United Kingdom,2010,10.9
United Kingdom,2010,11
United Kingdom,2010,11.3
NA,2011,NA
NA,2020,NA
United Kingdom,2013,10.7
United Kingdom,2013,10.7
United Kingdom,2013,10.7
United Kingdom,2013,10.9
United Kingdom,2013,11.5
United Kingdom,2013,13.5
United Kingdom,2016,10.1
United Kingdom,2016,10.1
United Kingdom,2016,10.1
United Kingdom,2016,10.1
United Kingdom,2016,10.1
United Kingdom,2016,10.2
United Kingdom,2016,10.3
NA,2010,NA
United States,1974,NA
United States,1979,NA
United States,1986,NA
United States,1991,10.3
United States,1991,10.5
United States,1994,10.2
United States,1994,10.2
United States,1994,10.3
United States,1994,10.3
United States,1994,10.3
United States,1994,10.4
United States,1994,10.6
NA,2010,NA
NA,2012,NA
NA,2012,NA
NA,2014,NA
NA,2017,NA
NA,2021,NA
NA,2033,NA
United States,1997,10.2
United States,1997,10.2
United States,1997,10.3
United States,1997,10.3
United States,1997,10.4
United States,1997,10.4
United States,1997,10.6
NA,2010,NA
NA,2012,NA
NA,2013,NA
NA,2014,NA
NA,2016,NA
NA,2017,NA
NA,2020,NA
NA,2022,NA
United States,2000,10.1
United States,2000,10.2
United States,2000,10.5
United States,2000,10.5
United States,2000,10.6
United States,2000,10.6
United States,2000,10.6
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2012,NA
NA,2013,NA
NA,2013,NA
NA,2014,NA
NA,2015,NA
NA,2017,NA
NA,2018,NA
NA,2020,NA
NA,2023,NA
NA,2031,NA
United States,2004,10.1
United States,2004,10.1
United States,2004,10.2
United States,2004,10.3
United States,2004,10.4
United States,2004,10.4
United States,2004,10.5
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2013,NA
NA,2014,NA
NA,2014,NA
NA,2016,NA
NA,2017,NA
NA,2020,NA
NA,2023,NA
United States,2007,10.1
United States,2007,10.1
United States,2007,10.1
United States,2007,10.2
United States,2007,10.2
United States,2007,10.2
United States,2007,10.3
NA,2010,NA
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2012,NA
NA,2013,NA
NA,2015,NA
NA,2016,NA
NA,2019,NA
NA,2022,NA
United States,2010,10.1
United States,2010,10.2
United States,2010,10.5
United States,2010,10.5
United States,2010,10.5
United States,2010,10.5
United States,2010,10.7
NA,2011,NA
NA,2012,NA
NA,2013,NA
NA,2017,NA
United States,2013,10.4
United States,2013,10.4
United States,2013,10.6
United States,2013,10.7
United States,2013,10.7
United States,2013,10.9
United States,2013,11
NA,2011,NA
NA,2016,NA
United States,2016,10.1
United States,2016,10.1
United States,2016,10.3
United States,2016,10.3
United States,2016,10.3
United States,2016,10.3
United States,2016,10.5
NA,2010,NA
NA,2011,NA
NA,2012,NA
NA,2018,NA
Uruguay,2004,10.1
Uruguay,2004,10.7
Uruguay,2004,11.4
Uruguay,2004,11.7
Uruguay,2004,12
Uruguay,2004,12.7
Uruguay,2004,12.9
NA,2013,NA
NA,2026,NA
Uruguay,2007,10.1
Uruguay,2007,10.2
Uruguay,2007,10.4
Uruguay,2007,10.6
Uruguay,2007,10.7
Uruguay,2007,10.8
Uruguay,2007,10.8
NA,2010,NA
NA,2012,NA
NA,2014,NA
NA,2030,NA
Uruguay,2010,10.2
Uruguay,2010,10.3
Uruguay,2010,10.3
Uruguay,2010,10.4
Uruguay,2010,10.6
Uruguay,2010,10.7
Uruguay,2010,11.3
NA,2011,NA
NA,2012,NA
NA,2020,NA
Uruguay,2013,10.4
Uruguay,2013,10.8
Uruguay,2013,11.4
Uruguay,2013,48.4
Uruguay,2016,10.1
Uruguay,2016,10.2
Uruguay,2016,10.3
Uruguay,2016,10.6
Uruguay,2016,11
Uruguay,2016,11.2
Uruguay,2016,11.2
NA,2011,NA
NA,2014,NA
